No.,English Text,Arabic Text
0,"Dear email owner/recipient,

We have already sent you this letter without hearing from you, I'm not sure you got it, that's why I repeat.

My name is Ms. Kristalina Georgieva, Chair of the Board of Directors of the International Monetary Fund. I gave away the 1,500,000 US dollars with the United Bank of Africa. Why is someone trying to deceive you? As this is the only authorized bank with Mr. Emeka Chris as authorized agent. If you refuse to contact Mr. emeka chris, the IMF will not allow you to receive payments and you will continue to work with the wrong people all the days of your life without any good news. Your funds are still with UBA in Togo and you should contact Mr. emeka chris if you are interested in IMF signature and approval.

Authorized Agent: Mr. Emeka Chris
Bank name: United African Bank
Email: info.atmbankofafrican@gmail.com
Bank website: https://www.ubagroup.com/


Tel: +228 93983877

This is UN, IMF, World Bank and ECOWAS accredited bank and without this said bank none of this entire agent would support you or agree to pay on your behalf.
Please call the bank now and collect your $1.5 million ATM card without delay.

sincerely
Kristalina Georgieva
President of the International Monetary Fund.","عزيزي مالك / مستلم البريد الإلكتروني ،

لقد أرسلنا لك هذه الرسالة مسبقًا دون أن أسمع منك ، لست متأكدًا من أنك حصلت عليها ، ولهذا أكرر.

اسمي السيدة كريستالينا جورجيفا ، رئيس مجلس إدارة صندوق النقد الدولي. لقد تخليت عن المليون وخمسمائة ألف دولار أمريكي مع البنك الأفريقي الموحد. ما السبب من يحاول خداعك؟ لأن هذا هو البنك الوحيد المعتمد مع السيد emeka chris كوكيل معتمد. إذا رفضت الاتصال بالسيد emeka chris ، فلن يسمح لك صندوق النقد الدولي بتلقي المدفوعات وستواصل العمل مع الأشخاص الخطأ طوال أيام حياتك دون أي أخبار جيدة. لا تزال أموالك مع UBA في توغو ويجب عليك الاتصال بالسيد emeka chris إذا كنت مهتمًا بتوقيع وموافقة صندوق النقد الدولي.

الوكيل المعتمد: السيد emeka chris
اسم البنك: البنك الأفريقي المتحد
البريد الإلكتروني: infor.atmbankofafrican@gmail.com
موقع البنك: https://www.ubagroup.com/


هاتف: +228 93983877

هذا هو البنك المعتمد من الأمم المتحدة وصندوق النقد الدولي والبنك الدولي والمجموعة الاقتصادية لدول غرب إفريقيا وبدون هذا البنك المذكور لن يدعمك أي من هذا الوكيل بأكمله أو يوافق على الدفع نيابةً عنك.
يرجى الاتصال بالبنك الآن واستلام بطاقة الصراف الآلي الخاصة بكم بقيمة 1.5 مليون دولار دون تأخير.

بإخلاص
كريستالينا جورجيفا
رئيس صندوق النقد الدولي."
1,"Hello Ahmed Abbas, I am using a translator so that we can communicate better
I have been looking for someone with this last name Abbas, so when I saw your Facebook profile I decided to add you and write you this message to find out how best we can help each other. I am Mr. Cheong Wee, a bank officer here in Bangkok Thailand with United Oversea Bank (UOB). I think it is God's will for me to meet you now. I have an important business discussion that I would like to share with you which I think will interest you, as it relates to your last name/nationality and you will benefit from it.
One of the late Alan Abbas, a citizen of your country who was in the gold business here in Bangkok, has a fixed deposit with my bank in the year 2007 for 108 calendar months, in the amount of $5,500,000.00 (Five Million Five Hundred US Dollars) at the date The last filing was on the 22nd of January 2014. Unfortunately, Alan Abbas was among the victims in the recent plane crash in Russia involving sixty-two passengers in the central region of Rostov-on-Don.
My bank management did not know after his death, I knew about this because I was his account officer. He did not mention any of the crown prince's relatives when the account was opened, and he was not married, and no relative was found for him. Last week, my bank management held a meeting to conduct the bank verification process to take note of the inactive and abandoned deposit accounts. I know this will happen and that is why I have been looking for a way to deal with the situation, because if the directors of the bank find out about his death, the bank will transfer the money to their directors to participate. So I don't want this to happen. That's why when I saw your details, I was happy.
I am now seeking your co-operation to present you as the “next of Kin/Heir” to the account, since you have the same last name and same nationality with him, and the bank headquarters will release the account through my assistance. There is no risk involved; The transaction will be carried out under a legitimate arrangement that protects you from any breach of law. It is better to demand the money than to allow the directors of the bank to divert it and share it among themselves. I'm not a greedy person, so I suggest we share the money with you, 50/50% for you and me respectively. I hope my share of the money will help me to start my own company which was my dream. Let me know what you think about this and please treat this information confidentially. I will give you more details as soon as I receive your urgent response through my personal email address below.
cheongweeofficer55@gmail.com
Warm greetings
Cheung Wei.
My email is cheongweeofficer55@gmail.com (+393512183941)
or Viber.","مرحباً أحمد عباس ، أنا أستخدم مترجمًا حتى نتواصل بشكل أفضل
لقد كنت أبحث عن شخص يحمل هذا الاسم الأخير عباس ، لذلك عندما رأيت ملفك الشخصي على Facebook ، قررت أن أضيفك وأكتب إليك هذه الرسالة لمعرفة أفضل طريقة يمكننا من خلالها مساعدة بعضنا البعض. أنا السيد Cheong Wee ، ضابط بنك هنا في بانكوك تايلاند مع بنك United Oversea Bank (UOB). أعتقد أنه من رغبة الله بالنسبة لي أن أصادفكم الآن. لديّ مناقشة مهمة في مجال الأعمال وأرغب في مشاركتها معك والتي أعتقد أنها ستثير اهتمامك ، لأنها تتعلق باسمك / جنسيتك الأخيرة وستستفيد منها.
أحد الراحلين ألن عباس ، مواطن من بلدك كان يعمل في مجال الذهب هنا في بانكوك ، لديه وديعة ثابتة لدى المصرف الذي أتعامل معه في عام 2007 لمدة 108 أشهر تقويمية ، بقيمة 5،500،000.00 دولار أمريكي (خمسة ملايين وخمسمائة دولار أمريكي) في موعد الاستحقاق كان الإيداع الأخير في الثاني والعشرين من يناير 2014. للأسف كان ألن عباس من بين الضحايا في حادث تحطم الطائرة الأخير في روسيا والذي شمل اثنين وستين راكبًا في المنطقة الوسطى من روستوف أون دون.
لم تعرف إدارة البنك الخاصة بي بعد وفاته ، علمت بهذا لأنني كنت مسؤول حسابه. ولم يذكر أي من أقرباء ولي العهد عند فتح الحساب ، ولم يكن متزوجًا ولم يتم العثور على قريب له. في الأسبوع الماضي ، عقدت إدارة البنك لدي اجتماعًا لإجراء عملية التحقق من البنك لتدوين حسابات الودائع الخاملة والمتروكة. أعلم أن هذا سيحدث ولهذا السبب كنت أبحث عن وسيلة للتعامل مع الموقف ، لأنه إذا اكتشف مديري البنك وفاته ، فسوف يقوم البنك بتحويل الأموال إلى مديريهم للمشاركة. لذلك لا أريد أن يحدث هذا. لهذا السبب عندما رأيت تفاصيلك ، كنت سعيدًا.
أسعى الآن إلى تعاونك لتقديمك على أنه “التالي من Kin / Heir” إلى الحساب ، نظرًا لأن لديك نفس الاسم الأخير ونفس الجنسية معه ، وسيفرج المقر الرئيسي للبنك عن الحساب من خلال مساعدتي. لا يوجد خطر ينطوي عليه ؛ سيتم تنفيذ المعاملة بموجب ترتيب شرعي يحميك من أي خرق للقانون. من الأفضل أن نطالب بالمال بدلاً من السماح لمديري البنك بتحويلها والمشاركة فيما بينهم. أنا لست شخصًا جشعًا ، لذا أقترح أن نشاركك الأموال ، 50/50٪ لك وأنا على التوالي. آمل أن يساعدني حصتي من المال في تأسيس شركتي الخاصة التي كانت حلمي. اسمحوا لي أن أعرف رأيك في هذا ويرجى التعامل مع هذه المعلومات بسرية. سأعطيك المزيد من التفاصيل بمجرد أن أتلقى ردك العاجل من خلال عنوان البريد الإلكتروني الشخصي الخاص بي أدناه.
cheongweeofficer55@gmail.com
تحياتي الحارة
تشيونغ وي.
بريدي الإلكتروني هو cheongweeofficer55@gmail.com (+393512183941)
أو فايبر.
"
2,"Hello, I'm a hiring manager at Amazon and we're currently looking for a part-time online employee working from home using the phone
Mobile, you can easily earn 1000 to 3000 Egyptian pounds per day, and the salary is paid on the same day. Work tasks are simple and can be done anytime and anywhere. Please contact us via

Or click on the link to add Telegram: vip347
Telegram
     And contact us https://t.me/vip347
Note: Applicants must be at least 20 years old, and students cannot participate","مرحبا، أنا مدير توظيف في أمازون ونبحث حاليا عن  موظفا عبر الانترنت بدوام جزئي بالعمل من المنزل باستخدام الهاتف 
المحمول، يمكنك بسهولة كسب 1000 الى 3000 جنيه مصري في اليوم، ويتم دفع الراتب في نفس اليوم. مهام العمل بسيطة ويمكن القيام بها في أي وقت وفي أي مكان. يرجى الاتصال بنا عبر

أو الضغط على الرابط لاضافة Telegram:vip347
Telegram 
    والاتصال بنا   https://t.me/vip347
ملاحظة: يجب الا يقل عمر المتقدمين عن 20 عاما، ولا يمكن للطلاب المشاركة"
3,"Personal banking services - Riyad Bank
Security alert
dear customer,
We inform you that due to the ongoing maintenance of public order in our online banking database, it is mandatory for you to verify your Riyad Bank account in order to enjoy our offline banking services. We ask you to complete this quick verification process if it is not done as urgently as possible. Permanently activate your account

Online verification","الخدمات المصرفية للأفراد – بنك الرياض
انذار امني
عزيزي الزبون،
نعلمك أنه نظرا لاستمرار صيانة النظام العام في قاعدة بياناتنا المصرفية عبر الانترنت، فانه الزامي عليك التحقق من حساب بنك الرياض الخاص بك من أجل الاستمتاع بخدماتنا المصرفية غبر الانترنت نطلب منك اكمال عملية التحقق السريعة هذه اذا لم يتم ذلك بشكل عاجل قدر الامكان ، فقد يتم الغاء تنشيط حسابك بشكل دائم

التحقق عبر الانترنت "
4,"Security alert
dear customer,
We inform you that due to the ongoing maintenance of public order in our online banking database, it is mandatory for you to verify your Al Mubasher Personal account in order to enjoy our online banking services. We ask you to complete this quick verification process. Permanently activate your account

Online verification

Thanks for your understanding and we are always there to keep you informed
Signature:
Database management","اانذار امني
عزيزي الزبون،
نعلمك أنه نظرا لاستمرار صيانة النظام العام في قاعدة بياناتنا المصرفية عبر الانترنت، فانه الزامي عليك التحقق من حساب المباشر للأفراد الخاص بك من أجل الاستمتاع بخدماتنا المصرفية غبر الانترنت نطلب منك اكمال عملية التحقق السريعة هذه اذا لم يتم ذلك بشكل عاجل قدر الامكان ، فقد يتم الغاء تنشيط حسابك بشكل دائم

التحقق عبر الانترنت 

شكرا على تفهمكم ونحن دائما هناك لاطلاعكم 
توقيع:
ادارة قواعد البيانات"
5,"Ahly NCB
Verification reference number XXXX88
Welcome!
We inform you that due to the ongoing maintenance of public order in our online banking database, it is mandatory for you to verify your National Commercial Bank account in order to enjoy our online banking services We ask you to complete this quick verification process if not done as urgently as possible, it may Deactivate your account once.

Click here to start the online verification","الأهلي NCB
رقم مرجع التحقق   XXXX88
مرحبا!
نعلمك أنه نظرا لاستمرار صيانة النظام العام في قاعدة بياناتنا المصرفية عبر الانترنت، فانه الزامي عليك التحقق من حساب البنك الاهلي التجاري الخاص بك من أجل الاستمتاع بخدماتنا المصرفية غبر الانترنت نطلب منك اكمال عملية التحقق السريعة هذه اذا لم يتم ذلك بشكل عاجل قدر الامكان ، فقد يتم الغاء تنشيط حسابك مرة واجدة.

أنقر هنا لبدء التحقق عبر الانترنت
"
6,"Start your academic year.. achieve your goals
And keep working and achieving #Together_westart
Ministry of education

The teacher is an essential pillar in building a generation that achieves the ambitious vision of its homeland #Together_WeStart
Ministry of education
My school is a guest of knowledge and knowledge in our homes
know more
https://schools.madrasati.sa/auth/index

Practice on the tools of the Madrasati platform .. the experience is sweet
https://backyoschool.sa","ابدا عامك الدراسي .. حقق أهدافك
وواصل العمل والانجاز# معا_نبدأ
وزارة التعليم

المعلم ركيزة أساسية في بناء جيل يحقق رؤية وطنه الطموحة # معا_نبدأ
وزارة التعليم
مدرستي .. ضيف علم ومعرفة في بيوتنا 
تعرف اكثر 
https://schools.madrasati.sa/auth/index

تدرب على أدوات منصة مدرستي .. التجربة حلوة
https://backyoschool.sa"
7," Hello Taxpayer,
 You have received an invoice

COURT ORDER IN2748  4/25/2019
 Click below to enter your password and download the secured adobe invoice file online:
  
TAX-INVOICE/d18=3D796","مرحبًا دافع الضرائب ،
  لقد تلقيت فاتورة

أمر المحكمة رقم IN2748 4/25/2019
  انقر أدناه لإدخال كلمة المرور الخاصة بك وتنزيل ملف فاتورة adobe الآمن عبر الإنترنت:
  
الفاتورة الضريبية / d18 = 3D796"
8,"Dear Samer Wardat
Thank you for accepting my friend request. I have been looking for someone with this name. I was prompted to contact you and find out how best we can help each other.
I'm Mr. Jose Veloso, I'm the Audit Director here at the National Bank of the Philippines. I think it's God's will for me to get to know you now. I have an important business discussion that I would like to share with you which I think will interest you as it relates to your last name and you will benefit from it.
A citizen of Bidak named Jintian Wardat has a fixed deposit with my bank, at the value of 12,500,000.00 US dollars (twelve million five hundred thousand US dollars). The due date for this deposit was last year. Unfortunately, Jintian Roses, was among the death victims on May 11, 2012, a fatal accident in the Philippines involving seven vehicles with Paranaque-Manila City Road, Philippines, where 35 people were killed on the spot.
The management of the bank I deal with did not know about his death yet. I knew about it because he was my friend and I was in charge of his account when the account was open before my promotion.
Mr. Jintian Al-Wardat did not mention any relatives/heirs when opening the account. Please contact me to provide you with a method of transferring money, including your mother, the only heir, through the link below.","عزيزي سامر وردات
شكرا على قبولك طلب الصداقة/ لقد كنت أبحث عن شخص هذا الاسم. لقد دفعت الى الاتصال بك ومعرفة أفضل السبل التي يمكننا بها المساعدة بعضنا البعض.
أنا السيد خوسيه فيلوسو، أعمل مدير التدقيق هنا في البنك الوطني الفلبيني. أعتقد انها ارادة الله لي أن أتعرف عليك الان. لدي مناقشة مهمة في مجال الاعمال وأرغب في مشاركتها معك والتي أعتقد أنها ستثير اهتمامك لانها تتعلق باسمك الاخير وستستفيد منها. 
مواطن من بدك يدعى جينتيان وردات لديه وديعة ثابتة لدى بنكي، بقيمة 12.500.000.00 دولار أمريكي (اثنا عشر مليونا وخمسائة الف دولار أمريكي) كان تاريخ استحقاق هذا الايداع العام الماضي. للاسف جينتيان الوردات، كان من بين ضحايا الموت في 11 مايو 2012 حادث مميت في الفلبين شارك فيه سبع مركبات مع طريق مدينة باراناك مانيلا الفلبين حيث قتل 35 شخصا على الفور.
ادارة البنك الذي أتعامل معه لم تعرف بعد بوفاته، لقد علمت بذلك لانه كان صديقي وكنت مسؤول عن حسابه عندما كان الحساب مفتوحا قبل ترقيتي.
لم يذكر السيد جينتيان الوردات اي من أقرباء/ وريث عند فتح الحساب. ارجوا التواصل معي لتزودك بطريقة تحويل الاموال بما امك الوريث الوحيد من خلال الرابط ادناه."
9,"Dear Cardmember,
Your card account requires your attention. Thank you for providing a recent address for your American Express account.

Your security is very important to us, please update your account information to protect your card account from possible fraudulent use by logging into your account online.

  Update your email

Thank you for your card membership.
 American Express customer service","عزيزي عضو البطاقة ،
يتطلب حساب بطاقتك انتباهك. شكرًا لك على تقديم عنوان حديث لحساب أمريكان إكسبريس الخاص بك.

أمنك مهم جدًا بالنسبة لنا ، يرجى تحديث معلومات حسابك لحماية حساب بطاقتك من الاستخدام الاحتيالي المحتمل عن طريق تسجيل الدخول إلى حسابك عبر الإنترنت.

 قم بتحديث بريدك الإلكتروني

شكرا لك على عضوية بطاقتك.
 خدمة عملاء أمريكان إكسبريس"
